DRUG,CYP****,RELATION,SPECIES,DATABASE,REFERENCES,OTHER INTERACTIONS,DRUG INFO
Miocamycin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Miocamycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Miocamycin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mirtazapine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mirtazapine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mirtazapine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Mitoxantrone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mizolastine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Mizolastine , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Modafinil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Modafinil , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Modafinil , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Modafinil , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Morphine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Morphine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Naloxone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nateglinide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nateglinide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nefazodone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nefazodone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nefazodone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nefazodone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nelfinavir , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Neostigmine , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Nevirapine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nevirapine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nevirapine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nevirapine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicardipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotinamide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotinamide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nicotine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nifedipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nilvadipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nimodipin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nimodipin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nimodipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nimodipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nisoldipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nisoldipine , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Nisoldipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrazepam , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrendipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrendipine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nitrendipine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nitric oxide , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Nordazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nordazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Norethisterone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Norfloxacin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Norfloxacin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Nortriptyline , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Nortriptyline , 3A4,substrate ,"human, rat ",SuperCYP,show reference,show interactions,show drug info
Noscapine , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Octopamine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Octopamine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Olanzapine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oleandomycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Olopatadine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Olopatadine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Omeprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ondansetron , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ondansetron , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ondansetron , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ornidazole , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (chloride) , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (chloride) , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (chloride) , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (citrate) , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (citrate) , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Orphenadrine (citrate) , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxatomide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxatomide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Oxatomide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Oxazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Oxcarbazepine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Oxcarbazepine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Oxiconazole , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Oxomemazine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Oxybutynin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Oxybutynin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Oxybutynin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paclitaxel , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Pantoprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Paracetamol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paraoxon , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Parecoxib , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Parecoxib , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Paroxetine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Paroxetine , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
pazopanib , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Pentamidine isethionate , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pentoxyverine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Perazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pergolide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pergolide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pergolide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Perhexiline , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Permethrin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perphenazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Perphenazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pethidine , 3A4,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Pethidine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pethidine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenacetin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenazone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenazone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenelzine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenelzine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenelzine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenobarbital , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenoxybenzamine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenoxymethylpenicillin , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Phenprocoumon , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenylbutazone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenylbutazone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Phenytoin , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Physostigmine , 3A4,inhibitor ,rat ,SuperCYP,show reference,show interactions,show drug info
Pilocarpin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pilocarpin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pilocarpine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pilocarpine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pimozide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pimozide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pimozide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pimozide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pinacidil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pinacidil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pioglitazone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Pioglitazone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pioglitazone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Pioglitazone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pleconaril , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Podophyllotoxin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Podophyllotoxin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prasterone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pravastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pravastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pravastatin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pravastatin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Prazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Praziquantel , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Praziquantel , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisolon , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Prednisolon , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisolone , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Prednisolone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Prednisone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Primaquine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Primaquine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Primaquine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Primaquine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Primidone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Primidone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Pristinamycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Pristinamycin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Pristinamycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Probenecid , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Prochlorperazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Progesterone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Proguanil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Proguanil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Promazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propafenone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propafenone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propiverine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propiverine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Propofol , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Propranolol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pyrazinamide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Pyridostigmine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Quazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quazepam , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quetiapine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quetiapine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinidine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinidine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Quinidine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Quinidine , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Quinine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Quinine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Quinupristin/dalfopristin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Quinupristin/dalfopristin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rabeprazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Raloxifene , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Raloxifene , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Raloxifene , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ranitidine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Reboxetine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Reboxetine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Repaglinide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Repaglinide , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Repaglinide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Retinol (vit A) , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rifabutin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rifabutin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifabutin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rifabutin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 3A4,inhibitor ,,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rifampicin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifapentine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifapentine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rifaximin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Risperidone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Risperidone , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Risperidone , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Ritonavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rivastigmine , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rofecoxib , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Rokitamycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Rokitamycin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ropinirole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ropinirole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ropivacaine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Ropivacaine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Roquinimex , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Roquinimex , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rosuvastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rosuvastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rosuvastatin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Roxithromycin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Roxithromycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Roxithromycin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
rufinamide , 3A4,inducer ,,SuperCYP,show reference,show interactions,show drug info
Rupatadine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rupatadine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Rutoside , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Salbutamol , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Salbutamol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Salmeterol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Salmeterol , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Saquinavir , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
saxagliptin , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Selegiline , 3A4,substrate ,,SuperCYP,show reference,show interactions,show drug info
Selegiline , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Seratrodast , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Seratrodast , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Sertindole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sertindole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sertraline , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sevoflurane , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sevoflurane , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sibutramine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sildenafil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Silymarin , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Silymarin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Silymarin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Silymarin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Silymarin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Simvastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Simvastatin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Simvastatin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sirolimus , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sirolimus , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sirolimus , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sodium edetate , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Solifenacin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Somatostatin , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Spiramycin , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Spironolactone , 3A4,inducer ,rat ,SuperCYP,show reference,show interactions,show drug info
Sufentanil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sufentanil , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sulconazole , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfadiazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfadiazine , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfadimidine , 3A4,inducer ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfamethoxazole , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfamethoxazole , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfanilamide , 3A4,inhibitor ,human ,SuperCYP,show reference,show interactions,show drug info
Sulfinpyrazon , 3A4,substrate ,human ,SuperCYP,show reference,show interactions,show drug info
