Drug,CYP***,Action,Species,Database,refence_1,reference_2,reference_3,Strength
Dabrafenib mesylate (USAN), 2C8, inducer, Not Specified, KEGG, , , , 
Fluvoxamine (INN), 2C8, inducer, Not Specified, KEGG, , , , 
Fluvoxamine maleate (JP17/USAN), 2C8, inducer, Not Specified, KEGG, , , , 
Aprepitant (JAN/USAN/INN), 2C9, inducer, Not Specified, KEGG, , , , Weak
Bosentan (INN), 2C9, inducer, Not Specified, KEGG, , , , Weak
Bosentan (USAN), 2C9, inducer, Not Specified, KEGG, , , , Weak
Carbamazepine (JP17/USP/INN), 2C9, inducer, Not Specified, KEGG, , , , Moderate
Phenobarbital (JP17/USP/INN), 2C9, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital sodium (JAN/USP/INN), 2C9, inducer, Not Specified, KEGG, , , , Weak
Phenobarbital diethylamine, 2C9, inducer, Not Specified, KEGG, , , , Weak
Rifampin (USP), 2C9, inducer, Not Specified, KEGG, , , , Moderate
Rifampicin sodium, 2C9, inducer, Not Specified, KEGG, , , , Moderate
Secobarbital (USP/INN), 2C9, inducer, Not Specified, KEGG, , , , 
Secobarbital sodium (JAN/USP), 2C9, inducer, Not Specified, KEGG, , , , 
St. Johns wort, 2C9, inducer, Not Specified, KEGG, , , , Weak
Artemisinin (INN), 2C19, inducer, Not Specified, KEGG, , , , Weak
Carbamazepine (JP17/USP/INN), 2C19, inducer, Not Specified, KEGG, , , , 
Norethindrone (USP), 2C19, inducer, Not Specified, KEGG, , , , 
Norethindrone acetate (USP), 2C19, inducer, Not Specified, KEGG, , , , 
Prednisone (USP), 2C19, inducer, Not Specified, KEGG, , , , 
Prednisone acetate, 2C19, inducer, Not Specified, KEGG, , , , 
Rifabutin (JAN/USP/INN), 2C19, inducer, Not Specified, KEGG, , , , 
Rifampin (USP), 2C19, inducer, Not Specified, KEGG, , , , Moderate
Rifampicin sodium, 2C19, inducer, Not Specified, KEGG, , , , Moderate
Ritonavir (JAN/USAN/INN), 2C19, inducer, Not Specified, KEGG, , , , 
Dexamethasone (JP17/USP/INN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone sodium phosphate (JAN/USP), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone metasulfobenzoate sodium (JAN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone palmitate (JAN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone dipropionate (USAN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone valerate (JAN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone acetate (JAN/USP), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone acefurate (USAN/INN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone beloxil (USAN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone cipecilate (JAN/INN), 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone 21-acetate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone isonicotinate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone sodium hemisulfate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone 21-tebutate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone 21-valerate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone phenylpropionate, 2D6, inducer, Not Specified, KEGG, , , , 
Dexamethasone phosphate, 2D6, inducer, Not Specified, KEGG, , , , 
Rifampin (USP), 2D6, inducer, Not Specified, KEGG, , , , 
Rifampicin sodium, 2D6, inducer, Not Specified, KEGG, , , , 
Isoniazid (JP17/USP/INN),2E1', inducer, Not Specified, KEGG, , , , 
Isoniazid calcium pyruvinate (JAN),2E1', inducer, Not Specified, KEGG, , , , 
Isoniazid sodium methanesulfonate hydrate (JAN),2E1', inducer, Not Specified, KEGG, , , , 
Isoniazid glucuronate sodium (JAN),2E1', inducer, Not Specified, KEGG, , , , 
Bosentan (INN), 3A4, inducer, Not Specified, KEGG, , , , 
Bosentan (USAN), 3A4, inducer, Not Specified, KEGG, , , , 
Carbamazepine (JP17/USP/INN), 3A4, inducer, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 3A4, inducer, Not Specified, KEGG, , , , 
Dexamethasone palmitate (JAN), 3A4, inducer, Not Specified, KEGG, , , , 
Fosphenytoin (INN), 3A4, inducer, Not Specified, KEGG, , , , 
Fosphenytoin sodium (USP), 3A4, inducer, Not Specified, KEGG, , , , 
Fosphenytoin sodium hydrate (JAN), 3A4, inducer, Not Specified, KEGG, , , , 
Nevirapine (JAN/USP/INN), 3A4, inducer, Not Specified, KEGG, , , , 
Phenobarbital (JP17/USP/INN), 3A4, inducer, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 3A4, inducer, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 3A4, inducer, Not Specified, KEGG, , , , 
Rifampin (USP), 3A4, inducer, Not Specified, KEGG, , , , 
Rifampicin sodium, 3A4, inducer, Not Specified, KEGG, , , , 
Rifabutin (JAN/USP/INN), 3A4, inducer, Not Specified, KEGG, , , , 
Carbamazepine (JP17/USP/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Nevirapine (JAN/USP/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Oxcarbazepine (JAN/USAN/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Phenobarbital (JP17/USP/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 3A5, inducer, Not Specified, KEGG, , , , 
Rifabutin (JAN/USP/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Troglitazone (JAN/USAN/INN), 3A5, inducer, Not Specified, KEGG, , , , 
Carbamazepine (JP17/USP/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Nevirapine (JAN/USP/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Oxcarbazepine (JAN/USAN/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Phenobarbital (JP17/USP/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 3A7, inducer, Not Specified, KEGG, , , , 
Rifabutin (JAN/USP/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Troglitazone (JAN/USAN/INN), 3A7, inducer, Not Specified, KEGG, , , , 
Amprenavir (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Weak
Aprepitant (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Weak
Armodafinil (USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Weak
Avasimibe (USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Strong
Bosentan (INN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Bosentan (USAN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Carbamazepine (JP17/USP/INN), 3A, inducer, Not Specified, KEGG, , , , Strong
Clobazam (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , 
Echinacea, 3A, inducer, Not Specified, KEGG, , , , Weak
Efavirenz (JAN/INN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Etravirine (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Modafinil (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Nafcillin (INN), 3A, inducer, Not Specified, KEGG, , , , Moderate
Nafcillin sodium (USP), 3A, inducer, Not Specified, KEGG, , , , Moderate
Phenobarbital (JP17/USP/INN), 3A, inducer, Not Specified, KEGG, , , , 
Phenobarbital sodium (JAN/USP/INN), 3A, inducer, Not Specified, KEGG, , , , 
Phenobarbital diethylamine, 3A, inducer, Not Specified, KEGG, , , , 
Phenytoin (JP17/USP/INN), 3A, inducer, Not Specified, KEGG, , , , Strong
Phenytoin sodium (USP), 3A, inducer, Not Specified, KEGG, , , , Strong
Pioglitazone (INN), 3A, inducer, Not Specified, KEGG, , , , Weak
Pioglitazone hydrochloride (JP17/USP), 3A, inducer, Not Specified, KEGG, , , , Weak
Prednisone (USP), 3A, inducer, Not Specified, KEGG, , , , Weak
Prednisone acetate, 3A, inducer, Not Specified, KEGG, , , , Weak
Rifampin (USP), 3A, inducer, Not Specified, KEGG, , , , Strong
Rifampicin sodium, 3A, inducer, Not Specified, KEGG, , , , Strong
Rifabutin (JAN/USP/INN), 3A, inducer, Not Specified, KEGG, , , , 
Rufinamide (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Weak
St. Johns wort, 3A, inducer, Not Specified, KEGG, , , , Strong
Vemurafenib (JAN/USAN/INN), 3A, inducer, Not Specified, KEGG, , , , Weak
Methoxsalen (JP17/USP), 1A1, substrate, Not Specified, KEGG, , , , 
Ramosetron (INN), 1A1, substrate, Not Specified, KEGG, , , , 
Ramosetron hydrochloride (JAN), 1A1, substrate, Not Specified, KEGG, , , , 
Istradefylline (JAN/USAN/INN), 1A1, substrate, Not Specified, KEGG, , , , 
Acotiamide hydrochloride (USAN), 1A1, substrate, Not Specified, KEGG, , , , 
Riociguat (JAN/INN), 1A1, substrate, Not Specified, KEGG, , , , 
Delamanid (JAN/USAN), 1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide (INN/BAN), 1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide hydrochloride (USAN), 1A1, substrate, Not Specified, KEGG, , , , 
Anagrelide hydrochloride hydrate (JAN), 1A1, substrate, Not Specified, KEGG, , , , 
Adrenaline - lidocaine hydrochloride mixt, 1A2, substrate, Not Specified, KEGG, , , , 
Alosetron (INN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Alosetron hydrochloride (USAN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Amiodarone (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Aminophylline hydrate (JP17), 1A2, substrate, Not Specified, KEGG, , , , 
Amitriptyline (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Amitriptyline hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Amoxapine (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Antipyrine (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Bortezomib (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Caffeine (USP), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Caffeine hydrate (JP17), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Caffeine citrate (USP), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Carvedilol (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Carvedilol phosphate (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Chlorzoxazone (JAN/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Oxtriphylline (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin hydrochloride (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Ciprofloxacin lactate, 1A2, substrate, Not Specified, KEGG, , , , 
Clomipramine (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Clomipramine hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Clopidogrel bisulfate (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Clozapine (JAN/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Cyclobenzaprine (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Cyclobenzaprine hydrochloride (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Dantrolene (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Dantrolene sodium (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Dexpropranolol hydrochloride (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Duloxetine (INN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Duloxetine hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Eltrombopag olamine (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Enoxacin (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Enoxacin hydrate (JP17), 1A2, substrate, Not Specified, KEGG, , , , 
Erlotinib hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Erlotinib (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol (JAN/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol valerate (JAN/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol dipropionate (JAN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol benzoate (JP17), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol acetate (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol cypionate (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol enanthate (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol undecylate (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol hemihydrate, 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol 17 beta-hemisuccinate, 1A2, substrate, Not Specified, KEGG, , , , 
Fluvoxamine (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Fluvoxamine maleate (JP17/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Fosamprenavir (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium hydrate (JAN), 1A2, substrate, Not Specified, KEGG, , , , 
Fosamprenavir calcium (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Fosamprenavir sodium (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Haloperidol (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Haloperidol decanoate (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Haloperidol lactate, 1A2, substrate, Not Specified, KEGG, , , , 
Imipramine hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Levobupivacaine hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Lidocaine (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride (JAN/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Lidocaine hydrochloride monohydrate, 1A2, substrate, Not Specified, KEGG, , , , 
Melatonin, 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Methoxsalen (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Mexiletine (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Mexiletine hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Mianserin (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Mianserin hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Mirtazapine (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Naproxen (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Naproxen sodium (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Naproxen etemesil (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Naratriptan (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Naratriptan hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Nicotine (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Norfloxacin (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Norfloxacin nicotinate, 1A2, substrate, Not Specified, KEGG, , , , 
Olanzapine (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Olanzapine pamoate (USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Ondansetron (JAN/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ondansetron hydrochloride hydrate (JAN/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Palonosetron (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Palonosetron hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Acetaminophen (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Phenacetin (JAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Pimozide (JP17/USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Pirfenidone (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Propafenone (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Propafenone hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Propranolol (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Propranolol hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Ramelteon (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Ramosetron (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ramosetron hydrochloride (JAN), 1A2, substrate, Not Specified, KEGG, , , , 
Riluzole (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ropinirole (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ropinirole hydrochloride (JAN/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Ropivacaine (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Ropivacaine hydrochloride (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Tacrine (INN), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Tacrine hydrochloride (USP), 1A2, substrate, Not Specified, KEGG, , , , Sensitive
Tamoxifen (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Tamoxifen citrate (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Theophylline (JP17), 1A2, substrate, Not Specified, KEGG, , , , Narrow
Theophylline sodium acetate (JAN), 1A2, substrate, Not Specified, KEGG, , , , Narrow
Theophylline (USP), 1A2, substrate, Not Specified, KEGG, , , , Narrow
Theophylline sodium glycinate (USP), 1A2, substrate, Not Specified, KEGG, , , , Narrow
Terbinafine (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Terbinafine hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Tizanidine (INN), 1A2, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Tizanidine hydrochloride (JP17/USAN), 1A2, substrate, Not Specified, KEGG, , , , Narrow & Sensitive
Sarpogrelate (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Sarpogrelate hydrochloride (JP17), 1A2, substrate, Not Specified, KEGG, , , , 
Stiripentol (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Verapamil (USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Verapamil hydrochloride (JP17/USP), 1A2, substrate, Not Specified, KEGG, , , , 
Warfarin (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Warfarin sodium (USP), 1A2, substrate, Not Specified, KEGG, , , , 
Warfarin potassium (JP17), 1A2, substrate, Not Specified, KEGG, , , , 
Zileuton (USP/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Zolmitriptan (JAN/USAN/INN), 1A2, substrate, Not Specified, KEGG, , , , 
Zolpidem (INN), 1A2, substrate, Not Specified, KEGG, , , , 
Zolpidem tartrate (JP17/USAN), 1A2, substrate, Not Specified, KEGG, , , , 
Estradiol (JAN/USP/INN), 1B1, substrate, Not Specified, KEGG, , , , 
Letrozole (JAN/USP/INN), 2A6, substrate, Not Specified, KEGG, , , , 
Methoxsalen (JP17/USP), 2A6, substrate, Not Specified, KEGG, , , , 
Nabumetone (JP17/USP/INN), 2A6, substrate, Not Specified, KEGG, , , , 
Nicotine (USP), 2A6, substrate, Not Specified, KEGG, , , , 
Pilocarpine (JAN/USP), 2A6, substrate, Not Specified, KEGG, , , , 
Pilocarpine hydrochloride (JP17/USP), 2A6, substrate, Not Specified, KEGG, , , , 
Pilocarpine nitrate (USP), 2A6, substrate, Not Specified, KEGG, , , , 
Pilocarpine borate, 2A6, substrate, Not Specified, KEGG, , , , 
Rivaroxaban (JAN/USAN/INN), 2A6, substrate, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Bupropion (INN), 2B6, substrate, Not Specified, KEGG, , , , Sensitive
Bupropion hydrochloride (JAN/USP), 2B6, substrate, Not Specified, KEGG, , , , Sensitive
Bupropion hydrobromide (USAN), 2B6, substrate, Not Specified, KEGG, , , , Sensitive
Carbamazepine (JP17/USP/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Clopidogrel (USP/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Clopidogrel bisulfate (USAN), 2B6, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (INN), 2B6, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (USP), 2B6, substrate, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 2B6, substrate, Not Specified, KEGG, , , , 
Efavirenz (JAN/INN), 2B6, substrate, Not Specified, KEGG, , , , Sensitive
Ifosfamide (JAN/USP/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Levomethadone (INN), 2B6, substrate, Not Specified, KEGG, , , , 
Levomethadone hydrochloride, 2B6, substrate, Not Specified, KEGG, , , , 
Methadone (BAN), 2B6, substrate, Not Specified, KEGG, , , , 
Methadone hydrochloride (JAN/USP), 2B6, substrate, Not Specified, KEGG, , , , 
Modafinil (JAN/USAN/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Phenytoin (JP17/USP/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Phenytoin sodium (USP), 2B6, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital - caffeine and sodium benzoate, 2B6, substrate, Not Specified, KEGG, , , , 
Phenytoin - phenobarbital mixt, 2B6, substrate, Not Specified, KEGG, , , , 
Sertraline (INN), 2B6, substrate, Not Specified, KEGG, , , , 
Sertraline hydrochloride (JAN/USAN), 2B6, substrate, Not Specified, KEGG, , , , 
Sorafenib (USAN/INN), 2B6, substrate, Not Specified, KEGG, , , , 
Sorafenib tosylate (USAN), 2B6, substrate, Not Specified, KEGG, , , , 
Amodiaquine (USAN/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Amodiaquine hydrochloride (USP), 2C8, substrate, Not Specified, KEGG, , , , 
Carbamazepine (JP17/USP/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Cerivastatin (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Cerivastatin sodium (JAN/USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (USP), 2C8, substrate, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Eltrombopag olamine (JAN/USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Pioglitazone hydrochloride and glimepiride tablets (JP17), 2C8, substrate, Not Specified, KEGG, , , , 
Lapatinib (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Lapatinib ditosylate (USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Montelukast (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Montelukast sodium (JP17/USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Mozavaptane hydrochloride (JAN), 2C8, substrate, Not Specified, KEGG, , , , 
Nilotinib (USAN/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Nilotinib hydrochloride hydrate (JAN), 2C8, substrate, Not Specified, KEGG, , , , 
Paclitaxel (JAN/USP/INN), 2C8, substrate, Not Specified, KEGG, , , , Narrow
Pioglitazone (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Pioglitazone hydrochloride (JP17/USP), 2C8, substrate, Not Specified, KEGG, , , , 
Repaglinide (JAN/USP/INN), 2C8, substrate, Not Specified, KEGG, , , , Sensitive
Vitamin A (USP), 2C8, substrate, Not Specified, KEGG, , , , 
Retinol palmitate (JP17), 2C8, substrate, Not Specified, KEGG, , , , 
Retinol acetate (JP17), 2C8, substrate, Not Specified, KEGG, , , , 
Retinol propionate, 2C8, substrate, Not Specified, KEGG, , , , 
Rosiglitazone (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Rosiglitazone maleate (JAN/USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Sorafenib (USAN/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Sorafenib tosylate (USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Terbinafine (USAN/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Terbinafine hydrochloride (JP17/USP), 2C8, substrate, Not Specified, KEGG, , , , 
Tolbutamide (JP17/USP/INN), 2C8, substrate, Not Specified, KEGG, , , , 
"Tolbutamide sodium sterile""", 2C8, substrate, Not Specified, KEGG, , , , 
Torsemide (USP), 2C8, substrate, Not Specified, KEGG, , , , 
Torasemide sodium, 2C8, substrate, Not Specified, KEGG, , , , 
Vardenafil (INN), 2C8, substrate, Not Specified, KEGG, , , , 
Vardenafil dihydrochoride (USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride hydrate (JAN), 2C8, substrate, Not Specified, KEGG, , , , 
Vardenafil hydrochloride (USAN), 2C8, substrate, Not Specified, KEGG, , , , 
Vitamin A oil (JP17), 2C8, substrate, Not Specified, KEGG, , , , 
Zopiclone (JAN/INN), 2C8, substrate, Not Specified, KEGG, , , , 
Amiodarone (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Amiodarone hydrochloride (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Ampiroxicam (JP17/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Armodafinil (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Cimetidine (JP17/USP/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Cimetidine hydrochloride (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Benzbromarone (JP17/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Bepridil (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Bepridil hydrochloride (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Bosentan (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Bosentan (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Candesartan (USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Candesartan cilexetil (JP17/USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Capecitabine (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Carvedilol (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , 
Carvedilol phosphate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Celecoxib (JAN/USAN/INN), 2C9, substrate, Not Specified, KEGG, , , , Sensitive
Cyclophosphamide (INN), 2C9, substrate, Not Specified, KEGG, , , , 
Cyclophosphamide (USP), 2C9, substrate, Not Specified, KEGG, , , , 
Dabrafenib mesylate (USAN), 2C9, substrate, Not Specified, KEGG, , , , 
Delavirdine (INN), 2C9, substrate, Not Specified, KEGG, , , , 
